Genre Id,Genre Type
1001,Abstract
1002,Action
1003,Comedy
1004,Crossover
1005,Drama
1006,Educational
1007,Family
1008,Horror
1009,Material Arts
1010,Musical
1011,Mystery
1012,Religious
1013,Romance
1014,Science Fiction
1015,Sports
1016,Thriller
1017,Western
1018,Web
1019,Adventure
1020,Fantasy
1021,Documentary
1022,Short
1023,Biography
1024,Reality
1025,History
1026,War
1027,Western
1028,Crime
1029,News
1030,Social
1031,Adult
1032,Game-Show
